total particle numbers for BW_2,particle average perimeter for BW_2,particle average area for BW_2,total particle numbers for BW_3,particle average perimeter for BW_3,particle average area for BW_3,particle total area for BW_3
796,26.742,36.774,340,22.839,25.221,8575
763,20.296,24.86,251,20.304,21.892,5495
831,33.683,42.369,405,24.551,26.716,10820
793,36.479,43.107,367,28.22,30.839,11318
935,29.616,36.606,346,22.188,24.064,8326
923,20.482,23.502,135,22.124,24.111,3255
1180,22.56,30.21,290,16.786,17.817,5167
1197,21.486,29.444,269,17.7,19.037,5121
1063,21.392,28.603,283,19.464,21.032,5952
1136,21.199,28.029,261,17.503,18.977,4953
598,23.274,25.436,142,27.655,28.218,4007
910,23.159,28.838,214,28.837,32.042,6857
983,19.529,26.515,223,23.263,25.426,5670
784,30.298,31.936,193,37.421,37.311,7201
1021,21.579,26.405,202,24.877,27.218,5498
